parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,target
14297519,,,,3.5,4.0,,,3.5,,,3100.0,3100.0,,,,,6059.0,,3.0,2.0,633.0,,,33634931.0,-117869207.0,4506.0,,,,,,122,261.0,,60590630.072012,53571.0,1286.0,,96978.0,0.0,,1.0,,,,,1998.0,,,485713.0,1023282.0,2016.0,537569.0,11013.72,,,60590630072012.0,0.0255949017584
17052889,,,,1.0,2.0,,,1.0,,1465.0,1465.0,1465.0,,,1465.0,,6111.0,1.0,1.0,1.0,0.0,,,34449266.0,-119281531.0,12647.0,,,,,,1110,261.0,,61110010.023006,13091.0,2061.0,,97099.0,5.0,,,,,,,1967.0,1.0,,88000.0,464000.0,2016.0,376000.0,5672.48,,,61110010023006.0,0.0556190874015
14186244,,,,2.0,3.0,,,2.0,,,1243.0,1243.0,,,,,6059.0,,2.0,2.0,440.0,,,33886168.0,-117823170.0,8432.0,1.0,,,,1.0,122,261.0,,60590218.022012,21412.0,1286.0,,97078.0,6.0,,,,,,,1962.0,1.0,,85289.0,564778.0,2016.0,479489.0,6488.3,,,60590218022012.0,0.00538285304689
12177905,,,,3.0,4.0,,8.0,3.0,,,2376.0,2376.0,,,,,6037.0,,3.0,,,,2.0,34245180.0,-118240722.0,13038.0,1.0,,,,1.0,0101,261.0,LCR110000*,60373001.001006,396551.0,3101.0,,96330.0,0.0,,,,1.0,,,1970.0,,,108918.0,145143.0,2016.0,36225.0,1777.51,,,60373001001006.0,-0.103409666332
10887214,1.0,,,3.0,3.0,,8.0,3.0,,,1312.0,1312.0,,,,,6037.0,,3.0,,,,2.0,34185120.0,-118414640.0,278581.0,1.0,,,,1.0,010C,266.0,LAR3,60371236.012,12447.0,3101.0,268548.0,96451.0,0.0,,,,1.0,,,1964.0,,,73681.0,119407.0,2016.0,45726.0,1533.89,,,60371236012000.0,0.00694035920822
17143294,,,,2.0,3.0,,,2.0,,842.0,1492.0,1492.0,,,842.0,,6111.0,1.0,2.0,2.0,0.0,,,34230044.0,-118993991.0,903.0,,,,,,1129,266.0,,61110053.062009,51239.0,2061.0,,97091.0,6.0,,,,,,,1982.0,2.0,,198640.0,331064.0,2016.0,132424.0,3508.1,,,61110053062009.0,-0.020526269034
12095076,1.0,,,3.0,4.0,,9.0,3.0,,,2962.0,2962.0,,,,,6037.0,,3.0,,,,2.0,34145202.0,-118179824.0,63000.0,1.0,,,,1.0,0101,261.0,PSR2,60374608.001014,47019.0,3101.0,274684.0,96293.0,0.0,,,,1.0,,,1950.0,,,276684.0,773303.0,2016.0,496619.0,9516.26,,,60374608001014.0,-0.00101096186046
12069064,,,,1.0,2.0,,5.0,1.0,,,738.0,738.0,,,,,6037.0,,1.0,,,,,34149214.0,-118239357.0,4214.0,,,,,,0100,261.0,GLR4YY,60373020.041001,45457.0,3101.0,276258.0,96325.0,0.0,,,,1.0,,,1922.0,,,18890.0,218552.0,2016.0,199662.0,2366.08,,,60373020041001.0,0.101723348346
12790562,,,,3.0,4.0,,9.0,3.0,,,3039.0,3039.0,,,,,6037.0,,3.0,,,,2.0,33960230.0,-118006914.0,20028.0,,,,,,0100,261.0,WHRE20000*,60375002.024006,14634.0,3101.0,,96173.0,0.0,,,,1.0,,,1970.0,,,177527.0,220583.0,2016.0,43056.0,3104.19,,,60375002024006.0,-0.0409656360713
11542646,,,,3.0,2.0,,8.0,3.0,,,1290.0,1290.0,,,,,6037.0,,3.0,,,,2.0,33998800.0,-118416000.0,54048.0,1.0,,,,1.0,010C,266.0,LAR3,60372751.022006,12447.0,3101.0,403184.0,96047.0,0.0,,,,1.0,,,1980.0,,,151303.0,371361.0,2016.0,220058.0,4557.32,,,60372751022006.0,-0.0367633409839
